number,smiles
31,NC1=CC=C(C2=NC3=C(C=CC(C4=CC=C(N=C(C5=CC=C(N)C=C5)N6)C6=C4)=C3)N2)C=C1
31,NC1=CC=C(C2=NC3=C(C=CC(C4=CC=C(N=C(C5=CC=C(N)C=C5)N6)C6=C4)=C3)N2)C=C1
32,NC1=CC2=C(C=C1)C(C3=CC(N)=CC=C3C2=O)=O
33,NC1=CC=C(C2=CN=C(C3=CC=C(N)C=C3)N=C2)C=C1
35,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1
35,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1
35,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1
38,NC(C=C1)=CC=C1OC(C=C2)=CC=C2C3=C4C(C5=CC=CC=C5N4)=C(C6=CC=C(OC7=CC=C(N)C=C7)C=C6)C8=C3C9=CC=CC=C9N8
39,NCC1=CC(CN)=CC=C1
40,O=C1C2=CC(C3=CC=C(N)C=C3)=CC=C2C4=CC=C(C5=CC=C(N)C=C5)C=C41
43,NC1=CC=C(OCC2CCC(COC3=CC=C(N)C=C3)CC2)C=C1
44,NC1=CC=C(OC2=CC=C(C=CC(OC3=CC=C(N)C=C3)=C4)C4=C2)C=C1
45,NC1=CC=C(OC2=CC=C(C(C)(C)C3=CC=C(OC4=CC=C(N)C=C4)C=C3)C=C2)C=C1
46,NC1=CC=C(C(C2=CC=C(N)C=C2)C3=CC=C(OC4=C(F)C(F)=C(C=C)C(F)=C4F)C=C3)C=C1
47,NC1=CC=C(C2=CC(C3=CC(C(C)(C)C)=C(O)C(C(C)(C)C)=C3)=CC(C4=CC=C(N)C=C4)=N2)C=C1
48,NC1=CC=C(OC2=C(C)C=C(C3(C(C=CC=C4)=C4C(C5=C3C=CC=C5)=O)C6=CC(C)=C(OC7=CC=C(N)C=C7)C=C6)C=C2)C=C1
49,NC1=CC=C(OC2=CC=C(C3(C(C=CC=C4)=C4C(C5=C3C=CC=C5)=O)C6=CC=C(OC7=CC=C(N)C=C7)C=C6)C=C2)C=C1
50,NC1=CC(C(F)(F)F)=C(C2=C(C(F)(F)F)C=C(N)C=C2)C=C1
51,NC1=CC(C(F)(F)F)=C(OC2=C(C(F)(F)F)C=C(N)C=C2)C=C1
52,NC1=CC(C(F)(F)F)=C(OC2=CC=C(S(C3=CC=C(OC4=C(C(F)(F)F)C=C(N)C=C4)C=C3)(=O)=O)C=C2)C=C1
54,NC1=CC=C(OC2=CC(OC3=CC=C(N)C=C3)=CC=C2)C=C1
54,NC1=CC=C(OC2=CC(OC3=CC=C(N)C=C3)=CC=C2)C=C1
55,NC1=CC=CC(OC2=CC=C(S(C3=CC=C(OC4=CC=CC(N)=C4)C=C3)(=O)=O)C=C2)=C1
56,NC1=C(C(C)(C)C)C=C(C(C2=CC=CC3=C2C=CC=C3)C4=CC=C(N)C(C(C)(C)C)=C4)C=C1
57,NC1=CC=C(OC2=CC=C(C3=CC(C4=CC=C(OC5=CC=C(N)C=C5)C=C4)=CC(C6=CC=C(OC7=CC=C(N)C=C7)C=C6)=C3)C=C2)C=C1
58,NC1=CN=C(OC(C=C2)=CC=C2C3=CC=C(OC4=CC=C(N)C=N4)C=C3)C=C1
58,NC1=CN=C(OC(C=C2)=CC=C2C3=CC=C(OC4=CC=C(N)C=N4)C=C3)C=C1
59,NC1=CC=C(OC2=CC=CC=C2C3=C(OC4=NC=C(N)C=C4)C=CC=C3)N=C1
60,NC1=CC=C(OC2=CC=C(C3=CC=C(OC4=NC(C)=C(N)C=C4)C=C3)C=C2)N=C1C
61,NC1=CC(C)=C(OC2=CC=C(C3=CC=C(OC4=NC=C(N)C=C4C)C=C3)C=C2)N=C1
62,NC1=C(C)C=C(OC2=CC=C(C3=CC=C(OC4=NC=C(N)C(C)=C4)C=C3)C=C2)N=C1
63,NC1=CC(N)=C(F)C=C1
64,NC1=CC(I)=C(C2=C(I)C=C(N)C=C2)C=C1
65,NC1=CC=C(C=C1)C(C2=CC=CC=C2)C3=CC=C(N)C=C3
66,NC1=CC=C(CCC2=CC=C(N)C=C2)C=C1
67,NC1=CC=C(/C=C/C2=CC=C(N)C=C2)C=C1
68,NC1=CC=C(OC2=CC=C(C=CC(OC3=CC=C(N)C=C3)=C4)C4=C2)C=C1
69,NC1=CC=C(CC2=CC(C)=C(N)C=C2)C=C1C
70,NC1=CC(C(F)(F)F)=C(OC2C(OCC3OC4=C(C(F)(F)F)C=C(N)C=C4)C3OC2)C=C1
71,NC1=CC=C(OC2C(OCC3OC4=CC=C(N)C=C4)C3OC2)C=C1
72,NC1C(OCC2N)C2OC1
73,NC1=CC(C(F)(F)F)=C(OC2=CC(OC3=CC=C(S(C4=CC=C(OC5=CC(OC6=C(C(F)(F)F)C=C(N)C=C6)=CC(OC7=CC=C(N)C=C7C(F)(F)F)=C5)C=C4)(=O)=O)C=C3)=CC(OC8=CC=C(N)C=C8C(F)(F)F)=C2)C=C1
74,NC1=CC(C(F)(F)F)=C(OC2=C(C(F)(F)F)C=C(N)C=C2)C=C1
75,NC1=CC=C(C2(C(C=CC=C3)=C3C4=C2C=CC=C4)C5=CC=C(N)C=C5)C=C1
76,NC1=CC=C(OC2=NC=CC(OC3=CC=C(N)C=C3)=N2)C=C1
77,NC1=CC=C(OC2=NN=C(OC3=CC=C(N)C=C3)C=C2)C=C1
78,NC1=CC=C(OC2=CC=C(C(C)(C3=CC=C(OC4=C(C#N)C=C(N)C=C4)C=C3)C)C=C2)C(C#N)=C1
79,NC1=CC(C(F)(F)F)=C(OC2=CC(OC3=CC=C(N)C=C3C(F)(F)F)=CC(OC4=C(F)C(F)=C(C=C)C(F)=C4F)=C2)C=C1
80,NC1=CC(C(F)(F)F)=C(OC(C=C2)=CC=C2OC3=C(C(F)(F)F)C=C(N)C=C3)C=C1
81,NC1=NC(N)=CC(N)=N1
82,NC1=CC=C(OC2=CC=C(S(C3=CC=C(OC4=CC=C(N)C=N4)C=C3)(=O)=O)C=C2)N=C1
83,NC1=CC=C(OC2=CC=C(SC3=CC=C(OC4=CC=C(N)C=N4)C=C3)C=C2)N=C1
84,NC1=CC=C(OC2=CC=C(OC3=CC=C(OC4=CC=C(N)C=N4)C=C3)C=C2)N=C1
85,NCCCCCCN
86,NCCCCCCCCCCCCN
87,NC1CCC(CC2CCC(N)CC2)CC1
88,NC1CCC(CC2CC(C)C(N)CC2)CC1C
89,NC1=C(C(C)C)C=C(C(C2=CC=C(C(F)(F)F)C=C2)C3=CC=C(N)C(C(C)C)=C3)C=C1
92,NC1=CC(N)=C([SH3](F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)C#CC#CC#CC#CC#C)C=C1
93,NC1=CC=C(C2=C([SH3](F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)C#CC#CC#CC#CC#C)C=C(N)C=C2)C([SH3](F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)C#CC#CC#CC#CC#C)=C1
94,NC1=C(OC2=CC=C(C(C(F)(F)F)(C(F)(F)F)C3=CC=C(OC4=C(N)C=C(N)C=C4)C=C3)C=C2)C=CC(N)=C1
