Dataset,n_features,CV_RMSE,CV_R2,Test_RMSE,Test_R2
16,8,40.72110607,0.310710454,39.12169766,0.222092932
19,20,38.17906889,0.310494126,33.3011412,0.514017488
15,16,38.59066786,0.309587621,41.37877931,0.242784963
1,12,39.84113454,0.309512806,31.11220029,0.25714086
11,20,36.57568991,0.308765757,51.20584592,0.254686172
13,14,38.87679999,0.308574401,38.21296759,0.235872275
4,14,40.1479696,0.30845183,30.48507107,0.42913278
15,15,38.64549586,0.307352096,41.40064132,0.241984619
20,13,38.49644744,0.307326304,29.3013133,0.382631898
14,14,36.00744316,0.305658767,57.14541377,0.253396294
4,13,40.23028817,0.305344908,30.50187417,0.428503292
9,16,38.36006765,0.305307533,38.70773219,0.42674959
8,11,37.95756044,0.305165647,45.58627118,0.16265392
18,10,37.25359386,0.303968141,51.46822742,0.237545878
12,18,38.0483927,0.303538345,44.01670478,0.275543467
4,20,40.02639313,0.301935076,29.69604553,0.458301138
11,19,37.29012351,0.301566659,51.36918057,0.249923835
17,8,41.04769945,0.300525948,29.76975353,0.223034037
15,14,38.88146571,0.300428436,41.43366414,0.24077489
9,15,38.49309918,0.299101529,38.91020735,0.420736707
16,7,41.01830608,0.29908576,39.34091209,0.213350662
20,12,38.72710999,0.29693449,29.56406052,0.371510278
1,11,40.12404583,0.296758665,31.25895448,0.250116297
4,12,40.41067658,0.296511481,30.50187417,0.428503292
13,13,39.1967284,0.295732991,38.34418094,0.230615635
9,14,38.61122422,0.295521065,39.38519129,0.406508044
12,17,38.25269927,0.294971017,44.14595368,0.27128269
15,13,38.96387346,0.294880272,41.5296444,0.237253356
11,18,37.45948986,0.294626203,51.29127956,0.252197081
12,15,38.29403665,0.294576171,44.33927303,0.26488647
13,12,39.23977751,0.294432894,38.34418094,0.230615635
8,10,38.34261808,0.294152713,45.58718006,0.16262053
2,7,38.65574778,0.293413931,47.16920306,0.04483261
1,9,40.2291003,0.293110989,30.44999565,0.288426953
14,13,36.32493468,0.292487945,57.62064349,0.240926926
20,11,39.01978033,0.292106865,29.1013949,0.391027576
12,14,38.35992976,0.291658951,44.33931903,0.264884945
15,12,39.07471872,0.29159224,41.73843569,0.229564622
11,17,37.54961034,0.291136038,51.35504347,0.250336629
4,11,40.5522019,0.290997016,30.63783516,0.423397086
9,13,38.69146012,0.290496346,39.46979589,0.403955507
1,8,40.35928525,0.289441757,30.70117644,0.276639059
15,11,39.13743176,0.289354551,41.73841125,0.229565525
18,9,37.45684896,0.289348392,50.51432371,0.265546372
1,10,40.29793097,0.28841195,31.25895448,0.250116297
12,16,38.43732366,0.288255115,44.27992327,0.266853106
12,13,38.45868417,0.287767467,44.36771698,0.263943007
9,12,38.775406,0.287584412,39.46983791,0.403954238
17,7,41.45472472,0.286865084,32.17019671,0.092683209
11,16,37.70483955,0.286096659,51.51384133,0.245693307
17,6,41.52873973,0.285218113,32.64551558,0.065673688
2,6,38.8735823,0.283537499,47.18115719,0.044348411
8,9,38.59985851,0.283444624,45.63432148,0.160887777
14,12,36.59312446,0.282877633,58.4582011,0.218699194
12,12,38.57940928,0.282418604,44.36772927,0.263942599
18,8,37.65672695,0.281399813,50.53649078,0.264901634
9,11,38.92716122,0.281337337,40.04932037,0.386323886
4,10,40.82056642,0.279904808,30.76200411,0.418713905
13,11,39.55191874,0.27828772,38.43051157,0.227147249
7,6,39.53909907,0.278242337,53.7825871,0.09638619
1,7,40.6346521,0.277972594,30.96877138,0.263974313
15,10,39.40412098,0.277803761,41.90252617,0.223494936
14,11,36.70744822,0.27764126,58.4582011,0.218699194
11,15,37.9853368,0.276858141,52.35747875,0.220784578
3,9,38.39439136,0.276765469,55.89697094,-0.010427677
9,10,39.07706362,0.275674075,40.10888314,0.384497166
4,9,40.93243523,0.275042247,31.37027959,0.395498391
19,16,39.44647553,0.274194379,35.21950433,0.456413219
14,10,36.81634341,0.27353802,58.70861331,0.21199128
8,8,38.87501197,0.272661836,45.63432148,0.160887777
18,7,37.854142,0.272279402,50.74423021,0.258845702
15,9,39.58170764,0.271030472,41.98534281,0.220422515
12,11,38.85702749,0.270996179,45.0325318,0.24171929
11,14,38.18651762,0.268357845,52.38598462,0.219935864
19,15,39.61563494,0.268329612,35.41161336,0.450466926
13,10,39.75165863,0.268144037,38.47108144,0.225514636
11,12,38.29305302,0.266982464,52.61535607,0.213089905
14,9,36.97272975,0.266611999,58.77594131,0.210182841
11,13,38.27242905,0.26500389,52.46324357,0.217633287
19,14,39.69541516,0.264878815,35.3790879,0.451475952
10,15,39.65792419,0.263660076,40.21220815,0.400723588
3,8,38.70201011,0.26194178,55.98497034,-0.013611643
10,14,39.70228559,0.261888517,40.31439537,0.397673956
6,20,38.49662604,0.261760053,28.40861485,0.618120491
15,8,39.85325079,0.261672042,42.04741182,0.218115835
8,7,39.16242602,0.260236048,45.64443008,0.160515987
19,13,39.76341768,0.260209331,35.41804492,0.450267293
13,9,39.95579655,0.260193517,38.59163917,0.220652984
11,11,38.56006986,0.259624984,52.95763678,0.20281837
5,20,37.77466999,0.259393684,42.82261345,0.317477586
14,8,37.16051594,0.259354538,58.93413305,0.205925633
12,10,39.15194193,0.25909772,45.02662073,0.241918343
