Dataset,n_features,CV_RMSE,CV_R2,Test_RMSE,Test_R2
2,16,23.33172805,0.701536987,21.57323708,0.800201124
8,12,22.49009529,0.700820203,16.63105865,0.88855088
5,18,22.21077495,0.700561026,24.77689564,0.77151149
17,12,24.93467287,0.700295286,17.43277758,0.733569037
2,14,23.44712472,0.699894815,21.69965473,0.797852648
14,13,23.20430995,0.699784195,31.65033493,0.770974416
2,17,23.23445926,0.699592672,21.90383565,0.794030576
10,13,23.10488649,0.698458577,31.98880509,0.620765905
8,19,23.45228921,0.697125078,18.38442379,0.86381261
5,15,22.20136895,0.694232561,25.53961206,0.757227677
14,15,23.34138699,0.692116139,31.35932749,0.775166584
8,20,23.69259014,0.691486984,18.53870451,0.86151727
8,15,22.68879438,0.691038047,16.38864761,0.891776123
10,12,23.26438664,0.690723114,31.23730712,0.638374943
8,14,22.86788811,0.690162265,16.26090898,0.893456615
8,10,22.52813833,0.688889603,20.59703616,0.829058971
13,20,23.91281778,0.687793502,22.78011183,0.728446047
3,14,23.34657484,0.687584778,27.95242446,0.747321872
8,9,22.67433335,0.686424081,20.72400735,0.82694493
13,12,23.28480987,0.686145455,23.42302523,0.712901847
10,14,23.01881394,0.685249383,29.16484004,0.684767826
16,16,26.84601839,0.684975944,15.08232331,0.884381102
5,16,22.59059734,0.682544474,25.49780071,0.75802192
13,17,24.17695533,0.681837185,22.61198664,0.732439582
8,13,23.03663214,0.68014297,16.60589173,0.888887926
12,20,24.33595153,0.679553373,21.40033539,0.828754787
3,18,23.23260106,0.679189306,29.76882024,0.713416005
16,15,27.14981002,0.678430382,15.12742948,0.883688514
17,11,25.64521819,0.678180112,20.69838073,0.624401147
13,14,23.79884893,0.678133546,24.42205486,0.687889176
13,13,23.75398653,0.678130043,23.33860031,0.714967725
13,19,24.12365545,0.677327405,23.7161844,0.705670317
13,18,24.42770545,0.676924324,23.13135439,0.720007402
17,10,25.85553958,0.67630145,20.63308703,0.626767086
9,13,23.5069176,0.675665398,28.79832071,0.682690374
12,19,24.47711974,0.674882767,21.57218263,0.825993506
3,16,23.6222672,0.674739279,27.81265095,0.749842541
3,17,23.47506401,0.673758914,27.91959725,0.747915012
3,15,23.59985854,0.672204169,27.94828956,0.747396622
10,19,23.29706724,0.672143973,28.73994318,0.693886029
4,20,24.15710091,0.672138077,23.44115836,0.662464994
5,13,22.85976639,0.671902232,25.66287552,0.754878607
1,19,24.2173025,0.671729357,21.86006369,0.633268795
10,20,23.39920605,0.671679596,29.18707727,0.684286934
9,12,23.72630336,0.670771038,28.68447662,0.685194161
12,10,23.87506153,0.670753968,20.67560929,0.840156893
15,20,22.38542819,0.67070942,23.88790595,0.747640277
12,18,24.8511464,0.66959678,21.80045308,0.822291452
5,14,22.88521218,0.669330589,24.64245582,0.773984328
1,10,24.06766665,0.668670242,23.46935792,0.577285217
5,12,22.92837621,0.668082484,26.25759778,0.743385871
15,19,22.65151545,0.668007799,29.09446886,0.625644044
1,20,24.3888677,0.667718678,21.88167,0.632543489
15,18,22.7108567,0.667690208,28.84443403,0.632050748
13,11,24.15754687,0.667381748,21.90211187,0.748975326
3,19,23.39777945,0.667011392,31.03177257,0.688583333
3,13,23.98949608,0.667010486,27.99914042,0.746476581
8,17,24.0779356,0.66540475,18.59588054,0.860661751
12,17,24.93466815,0.665381592,21.41159741,0.828574503
4,18,24.58043087,0.664081971,22.47902891,0.689604244
5,11,23.27750023,0.661496457,25.69056528,0.754349359
4,19,24.38864835,0.661469503,23.18719216,0.669739218
4,14,23.70730907,0.661155882,20.07665534,0.752404123
13,16,25.16003743,0.660774734,22.50348719,0.7350011
14,20,24.73663506,0.66010545,32.13012919,0.763978089
12,16,25.26612229,0.659625511,21.79732481,0.822342449
10,17,24.05209391,0.659610709,27.73999962,0.7148166
12,12,24.98627496,0.659054251,21.09994059,0.833528557
16,14,27.80808603,0.6589929,15.57779315,0.876659928
8,18,24.40750689,0.658694678,18.74544287,0.858411408
14,17,24.87630031,0.658218195,31.79271412,0.768909236
3,12,24.20345251,0.657849303,28.22958974,0.742286115
14,18,24.97337441,0.657594405,31.49758127,0.773179769
10,16,23.87100845,0.657186883,29.18350968,0.684364109
10,15,24.15749291,0.656952807,27.57881446,0.718121127
19,19,24.74685801,0.656715127,25.66354754,0.711373776
12,15,25.42125787,0.65666693,21.57088905,0.826014374
4,11,24.03731811,0.656122346,22.8848517,0.678295684
